title	year	citations	authors	authororder	openaccess	oastatus	relatedworks	concepts	topics	domain	field	subfield	languages	worktype
At the intersections: A postcolonialist woman of color considers Western feminism	2003	14	Nina Asher	1. Nina Asher	False	closed	https://openalex.org/W2067562289; https://openalex.org/W2588243867; https://openalex.org/W3125493490; https://openalex.org/W2379313737; https://openalex.org/W3110859352; https://openalex.org/W2671742095; https://openalex.org/W2802491141; https://openalex.org/W587228266; https://openalex.org/W3161339652; https://openalex.org/W561366670; https://openalex.org/W2090899788; https://openalex.org/W2616528720; https://openalex.org/W3109580979; https://openalex.org/W2365866872; https://openalex.org/W1521061567; https://openalex.org/W1946733786; https://openalex.org/W2068841789; https://openalex.org/W652925756; https://openalex.org/W2914128940; https://openalex.org/W2020401301	Feminism; Women of color; Gender studies; Sociology; Race (biology)	Gender Diversity and Inequality; Australian History and Society; Tourism, Volunteerism, and Development	Social Sciences	Social Sciences	Gender Studies	en	article
The crisis of social reproduction and 'Made-in-China' feminism	2021	9	Yige Dong	1. Yige Dong	False	closed	https://openalex.org/W4379799207; https://openalex.org/W3120711800; https://openalex.org/W3187298618; https://openalex.org/W4389502092; https://openalex.org/W2134671497; https://openalex.org/W4205241721; https://openalex.org/W4390703241; https://openalex.org/W4289516261; https://openalex.org/W2373727645; https://openalex.org/W4300808347	Solidarity; Feminism; China; Population; Social reproduction; Gender studies; Appropriation; Sociology; Political science; Politics; Citizenship; Political economy; Economic growth; Development economics; Social capital; Social science; Economics; Law; Philosophy; Linguistics; Demography	Intergenerational Family Dynamics and Caregiving; Historical Gender and Feminism Studies	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Feminism and Liberal Theory	1991	8	Richard C. Sinopoli; Nancy J. Hirschmann	1. Richard C. Sinopoli; 2. Nancy J. Hirschmann	False	closed	https://openalex.org/W2502369594; https://openalex.org/W1528329307; https://openalex.org/W1505172604; https://openalex.org/W3191348212; https://openalex.org/W3124521348; https://openalex.org/W1990560280; https://openalex.org/W1541542088; https://openalex.org/W2335948343; https://openalex.org/W4308299783; https://openalex.org/W4206117048	Feminism; Obligation; Politics; Sociology; Feminist theory; Political philosophy; Feminist legal theory; Liberalism; Gender studies; Political science; Law	Political Philosophy and Ethics; Foucault, Power, and Ethics; Political Economy and Marxism	Social Sciences	Social Sciences	Political Science and International Relations	en	article
Feminism and globalisation: the promise of Beijing and neoliberal capitalism in Africa	2005	14	Vishanthie Sewpaul	1. Vishanthie Sewpaul	True	hybrid	https://openalex.org/W94346769; https://openalex.org/W2032540661; https://openalex.org/W2990194185; https://openalex.org/W1148012374; https://openalex.org/W2152184004; https://openalex.org/W2037281366; https://openalex.org/W2035710846; https://openalex.org/W2586804965; https://openalex.org/W2908405198; https://openalex.org/W1614904179; https://openalex.org/W300982415; https://openalex.org/W2021921955; https://openalex.org/W1539764041; https://openalex.org/W2332420557; https://openalex.org/W1492175492; https://openalex.org/W2903270659; https://openalex.org/W2039437258; https://openalex.org/W2606440108; https://openalex.org/W2003169379; https://openalex.org/W2895399014	Capitalism; Beijing; Neoliberalism (international relations); Globalization; Sociology; Feminism; Gender studies; Political science; Political economy; General partnership; Economic growth; Development economics; Politics; Economics; China; Law	Gender Politics and Representation; Legal Issues in South Africa; Feminism, Gender, and Sexuality Studies	Social Sciences	Social Sciences	Gender Studies	en	article
Soft Fictions and Intimate Documents: Can Feminism Be Posthuman?	2000	14	Paula Rabinowitz	1. Paula Rabinowitz	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W4390586187; https://openalex.org/W3020532874	Posthuman; Feminism; Art; Sociology; Gender studies; Aesthetics	Gender, Feminism, and Media; Gothic Literature and Media Analysis	Social Sciences	Social Sciences	Gender Studies	en	book-chapter
Uncovering White Settler Colonial Discourse in Curricula with Anticolonial Feminism	2018	10	Shawna M. Carroll	1. Shawna M. Carroll	True	diamond	https://openalex.org/W2142124102; https://openalex.org/W2913877387; https://openalex.org/W1701366609; https://openalex.org/W2184303792; https://openalex.org/W2057120879; https://openalex.org/W616705313; https://openalex.org/W2171811465; https://openalex.org/W1985490921; https://openalex.org/W2120580112; https://openalex.org/W2492325008	Feminism; Colonialism; White (mutation); Curriculum; White paper; Gender studies; Sociology; Political science; Media studies; History; Pedagogy; Law; Biochemistry; Chemistry; Gene	Tourism, Volunteerism, and Development; Global Education and Multiculturalism	Social Sciences	Social Sciences	Demography	en	article
Norwegian Muslim Women, Diffused Islamic Feminism and the Politics of Belonging	2016	16	Margaretha A. van Es	1. Margaretha A. van Es	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W4390586187; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Norwegian; Feminism; Islam; Politics; Gender studies; Sociology; Religious studies; Political science; History; Law; Philosophy; Archaeology; Linguistics	Migration, Refugees, and Integration; Gender and Women's Rights; Turkey's Politics and Society	Social Sciences	Social Sciences	Sociology and Political Science	en	article
The Logic of the Development of Feminism; or, Is MacKinnon to Feminism as Parmenides Is to Greek Philosophy?	1992	5	Susan E. Bernick	1. Susan E. Bernick	False	closed	https://openalex.org/W2093728499; https://openalex.org/W2182823204; https://openalex.org/W4387066043; https://openalex.org/W4248030820; https://openalex.org/W2324612564; https://openalex.org/W263537408; https://openalex.org/W1500025950; https://openalex.org/W2140144713; https://openalex.org/W2244841446; https://openalex.org/W2202690955	Feminism; Subordination (linguistics); Human sexuality; Feminist theory; Culmination; Gender studies; Sociology; Philosophy; Psychoanalysis; Psychology; Physics; Linguistics; Astronomy	Religion, Gender, and Enlightenment	Social Sciences	Arts and Humanities	Religious studies	en	article
Feminism and the Developing World	2004	5	Pamela Sue Anderson	1. Pamela Sue Anderson	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914; https://openalex.org/W4235493931	Feminism; Sociology; Gender studies	Gender Politics and Representation	Social Sciences	Social Sciences	Gender Studies	en	book-chapter
“We Keep us Safe!”: Abolition Feminism as a Challenge to Carceral Feminist Responses to Gendered Violence	2024	17	Brittany Pearl Battle; Amber Joy Powell	1. Brittany Pearl Battle; 2. Amber Joy Powell	False	closed	https://openalex.org/W1548557026; https://openalex.org/W1975110180; https://openalex.org/W2117786814; https://openalex.org/W4377008908; https://openalex.org/W1989187808; https://openalex.org/W2332333067; https://openalex.org/W2079187076; https://openalex.org/W4288993906; https://openalex.org/W3200232677; https://openalex.org/W2405965961	Harm; Criminology; Criminal justice; Feminism; Punishment (psychology); Sociology; Vision; Transformative learning; State (computer science); Sexual violence; Political science; Law; Gender studies; Psychology; Social psychology; Pedagogy; Computer science; Algorithm; Anthropology	Criminal Justice and Corrections Analysis; Sexual Assault and Victimization Studies; Gender, Security, and Conflict	Social Sciences	Social Sciences	Sociology and Political Science	en	article
From Margins to Mainstream: Feminism and Fictional Modes in Italian Women's Writing, 1968-1990	1994	22	Cinzia Donatelli Noble; Carol Lazzaro-Weis	1. Cinzia Donatelli Noble; 2. Carol Lazzaro-Weis	False	closed	https://openalex.org/W3135810314; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Mainstream; Feminism; Gender studies; Sociology; Political science; Law	Italian Fascism and Post-war Society	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Olive Schreiner: Feminism on the Frontier	1979	9	Joyce Avrech Berkman	1. Joyce Avrech Berkman	False	closed	https://openalex.org/W1974167860	Feminism; Frontier; Gender studies; Sociology; Geography; Archaeology	Historical Gender and Feminism Studies; American Literature and Culture; Canadian Identity and History	Social Sciences	Social Sciences	Sociology and Political Science	en	book
A Methodological Analysis of Feminism in Relation to Marital Adjustment	1939	12	Clifford Kirkpatrick	1. Clifford Kirkpatrick	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Feminism; Relation (database); Psychology; Sociology; Gender studies; Computer science; Database	Gender Politics and Representation	Social Sciences	Social Sciences	Gender Studies	en	article
Disabled women and transnational feminisms: shifting boundaries and frontiers	2011	14	Míriam Arenas Conejo	1. Míriam Arenas Conejo	False	closed	https://openalex.org/W2748952813; https://openalex.org/W3125302265; https://openalex.org/W4242931393; https://openalex.org/W2114295463; https://openalex.org/W3124763745; https://openalex.org/W2355569436; https://openalex.org/W369672418; https://openalex.org/W1486494288; https://openalex.org/W2381872080; https://openalex.org/W2041686041	Alliance; Human rights; Gender studies; Democracy; Disabled people; Sociology; Political science; Law; Politics; Demography; Life style	Disability Rights and Representation; Feminism, Gender, and Intersectionality; Discrimination and Equality Law	Social Sciences	Social Sciences	Safety Research	en	article
Learning Lessons from the Feminisms of Ethnic “Others”	2017	7	Aarti Ratna; Sumaya Farooq Samie; Katherine M. Jamieson; Stanley Thangaraj	1. Aarti Ratna; 2. Sumaya Farooq Samie; 3. Katherine M. Jamieson; 4. Stanley Thangaraj	False	closed	https://openalex.org/W2372636939; https://openalex.org/W2375419049; https://openalex.org/W2382892360; https://openalex.org/W2347752579; https://openalex.org/W2391331958; https://openalex.org/W2921140331; https://openalex.org/W2392489182; https://openalex.org/W2386634418; https://openalex.org/W4382134125; https://openalex.org/W2370929719	Foregrounding; Gender studies; Feminism; Ethnic group; Appeal; Queer; Sociology; Politics; Centrality; Political science; Anthropology; Art; Mathematics; Law; Literature; Combinatorics	Sports, Gender, and Society; Sport and Mega-Event Impacts; Historical Gender and Feminism Studies	Social Sciences	Social Sciences	Gender Studies	en	book-chapter
Gendering African Philosophy, or: African Feminism as Decolonizing Force	2017	14	Louise du Toit; Azille Coetzee	1. Louise du Toit; 2. Azille Coetzee	False	closed	https://openalex.org/W1961270895; https://openalex.org/W1525179934; https://openalex.org/W4297991864; https://openalex.org/W1583415975; https://openalex.org/W71436109; https://openalex.org/W2244841446; https://openalex.org/W2048169993; https://openalex.org/W4213171122; https://openalex.org/W4254035676; https://openalex.org/W2770656064	Feminist philosophy; Redress; Gender studies; Feminist theory; Feminism; Agency (philosophy); African philosophy; Sociology; Indigenous; Context (archaeology); Epistemology; Political science; Social science; Philosophy; History; Law; Archaeology; Ecology; Biology	African Sexualities and LGBTQ+ Issues; African cultural and philosophical studies; Feminism, Gender, and Sexuality Studies	Social Sciences	Social Sciences	Sociology and Political Science	en	book-chapter
Skater Girlhood: Resignifying Femininity, Resignifying Feminism	2011	9	Dawn H. Currie; Deirdre M. Kelly; Shauna Pomerantz	1. Dawn H. Currie; 2. Deirdre M. Kelly; 3. Shauna Pomerantz	False	closed	https://openalex.org/W2748952813; https://openalex.org/W1997241066; https://openalex.org/W2560587089; https://openalex.org/W3048671161; https://openalex.org/W3122633642; https://openalex.org/W1978950075; https://openalex.org/W2073456915; https://openalex.org/W2132146444; https://openalex.org/W2522810045; https://openalex.org/W2901875143	Femininity; Gender studies; Feminism; Context (archaeology); Identity (music); Subject (documents); Masculinity; Sociology; Aesthetics; Art; History; Archaeology; Computer science; Library science	Gender Roles and Identity Studies; Gender, Feminism, and Media; Adventure Sports and Sensation Seeking	Social Sciences	Social Sciences	Gender Studies	en	book-chapter
Educational Thoughts of Western Radical Feminism	2019	6	Lin Miao	1. Lin Miao	False	closed	https://openalex.org/W2039796253; https://openalex.org/W3142528690; https://openalex.org/W2133502296; https://openalex.org/W3009452976; https://openalex.org/W2530497250; https://openalex.org/W2171486129; https://openalex.org/W1909447668; https://openalex.org/W3010576521; https://openalex.org/W152843630; https://openalex.org/W2008758418; https://openalex.org/W2085263555; https://openalex.org/W2126658074; https://openalex.org/W1543551718; https://openalex.org/W3152453971; https://openalex.org/W2032820018; https://openalex.org/W2944354260; https://openalex.org/W2411760508; https://openalex.org/W2893672115; https://openalex.org/W2478828480; https://openalex.org/W248073688	Feminism; Gender studies; Dialectic; Sociology; Curriculum; Consciousness; Promotion (chess); Political science; Pedagogy; Epistemology; Philosophy; Politics; Law	Critical and Liberation Pedagogy; Ideological and Political Education; Feminist Theory and Gender Studies	Social Sciences	Social Sciences	Education	en	article
Disciplining Foucault: Feminism, Power, and the Body	1994	11	Margaret Atack; Jana Sawicki	1. Margaret Atack; 2. Jana Sawicki	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Feminism; Power (physics); Art; Gender studies; Sociology; Physics; Quantum mechanics	Foucault, Power, and Ethics	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Fanon, Foucault, feminisms: Psychoeducation, theoretical psychology, and political change	2016	11	Erica Burman	1. Erica Burman	True	green	https://openalex.org/W2792411458; https://openalex.org/W3039229548; https://openalex.org/W2101353010; https://openalex.org/W3198600371; https://openalex.org/W3187125654; https://openalex.org/W2012945490; https://openalex.org/W2411490467; https://openalex.org/W2908753934; https://openalex.org/W4318714931; https://openalex.org/W2334423826	Resistance (ecology); Psychoanalysis; Sociology; Intrapersonal communication; Politics; Interpersonal communication; Reading (process); Psychology; Epistemology; Gender studies; Social psychology; Philosophy; Law; Ecology; Linguistics; Political science; Biology	Academic and Historical Perspectives in Psychology; Historical Studies on Reproduction, Gender, Health, and Societal Changes; Historical Psychiatry and Medical Practices	Social Sciences	Psychology	General Psychology	en	article
Revitalising Dalit feminism	2019	5	Smita M. Patil	1. Smita M. Patil	False	closed	https://openalex.org/W2317596408; https://openalex.org/W1987033788; https://openalex.org/W2084043941; https://openalex.org/W1974317653; https://openalex.org/W2754513840; https://openalex.org/W4306957361; https://openalex.org/W1484437451; https://openalex.org/W2945638871; https://openalex.org/W4253850973; https://openalex.org/W1946080426	Feminism; Gender studies; Sociology	Gender Politics and Representation	Social Sciences	Social Sciences	Gender Studies	en	book-chapter
Visual Habits: Nuns, Feminism, and American Postwar Popular Culture	2005	10	Rebecca Sullivan	1. Rebecca Sullivan	False	closed	https://openalex.org/W2461651687; https://openalex.org/W40782228; https://openalex.org/W582490980; https://openalex.org/W1980369056; https://openalex.org/W413831873; https://openalex.org/W2131620230; https://openalex.org/W2169431035; https://openalex.org/W2063938335; https://openalex.org/W2964360120; https://openalex.org/W1986944350; https://openalex.org/W2000802423; https://openalex.org/W2133120801; https://openalex.org/W408241255; https://openalex.org/W2589899680; https://openalex.org/W565441500; https://openalex.org/W1488915628; https://openalex.org/W2770074773; https://openalex.org/W2090856811; https://openalex.org/W581504077; https://openalex.org/W1980826492	Feminism; Mainstream; Gender studies; Context (archaeology); Popular culture; Politics; Femininity; Period (music); Sociology; Art; History; Aesthetics; Media studies; Political science; Law; Archaeology	Catholicism and Religious Studies; Early Modern Women Writers	Social Sciences	Arts and Humanities	History	en	book
Sister Outsider and Audre Lorde in the Netherlands: On Transnational Queer Feminisms and Archival Methodological Practices	2019	22	Chandra Frank	1. Chandra Frank	True	bronze	https://openalex.org/W3143222409; https://openalex.org/W1579373186; https://openalex.org/W2507261687; https://openalex.org/W4229077546; https://openalex.org/W4224263776; https://openalex.org/W4312685612; https://openalex.org/W2769242725; https://openalex.org/W4255651350; https://openalex.org/W2607139361; https://openalex.org/W2752248129	Gender studies; Sister; Queer; Sociology; Lesbian; Feminism; Kinship; Anthropology	Historical Gender and Feminism Studies; French Historical and Cultural Studies; Historical Studies on Reproduction, Gender, Health, and Societal Changes	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Keepin’ It Real: A Generational Commentary on Kimberly Springer’s “Third Wave Black Feminism?”	2002	20	Sheila Radford‐Hill	1. Sheila Radford‐Hill	False	closed	https://openalex.org/W4241713070; https://openalex.org/W4307136485; https://openalex.org/W3174693904; https://openalex.org/W2349510093; https://openalex.org/W2103064161; https://openalex.org/W4380523436; https://openalex.org/W2902037120; https://openalex.org/W2151363515; https://openalex.org/W2244083478; https://openalex.org/W2389794700	Feminism; Politics; Sociology; Tribute; Gender studies; Watson; Intersectionality; Miller; Art history; Law; Political science; Art; Computer science; Biology; Natural language processing; Ecology	Gender, Feminism, and Media	Social Sciences	Social Sciences	Gender Studies	en	article
Feminism and Pseudo Feminism - A Legal Perspective	2022	3	Ashna Sharma	1. Ashna Sharma	True	diamond	https://openalex.org/W4391375266; https://openalex.org/W2899084033; https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4387901770; https://openalex.org/W4245646993; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W3020532874; https://openalex.org/W4230473776	Feminism; Perspective (graphical); Sociology; Gender studies; Political science; Computer science; Artificial intelligence	Feminist Theory and Gender Studies; Gender Politics and Representation; Discrimination and Equality Law	Social Sciences	Social Sciences	Gender Studies	en	article
#MeToo, white feminism and taking everyday politics seriously in the global political economy	2019	13	Penny Griffin	1. Penny Griffin	False	closed	https://openalex.org/W2355650008; https://openalex.org/W4240762098; https://openalex.org/W1548588747; https://openalex.org/W2066005781; https://openalex.org/W2016522302; https://openalex.org/W4298125111; https://openalex.org/W4360765010; https://openalex.org/W4250039914; https://openalex.org/W3113923544; https://openalex.org/W2621089828	Feminism; Politics; Agency (philosophy); Scholarship; Privilege (computing); Global politics; Political science; Gender studies; Identity politics; Sociology; Political economy; Social science; Law	Gender, Feminism, and Media; Elite Sociology and Global Capitalism; Labor Movements and Unions	Social Sciences	Social Sciences	Gender Studies	en	article
Introduction: Neo-Victorianism and Feminism	2013	7	T. MacDonald; John M. Goggin	1. T. MacDonald; 2. John M. Goggin	True	green	https://openalex.org/W2804824629; https://openalex.org/W2499063260; https://openalex.org/W3120003694; https://openalex.org/W2480477177; https://openalex.org/W2953078914; https://openalex.org/W1946733786; https://openalex.org/W2777770081; https://openalex.org/W2804716676; https://openalex.org/W3141688737; https://openalex.org/W3138130059; https://openalex.org/W630647205; https://openalex.org/W1525798506; https://openalex.org/W2318637315; https://openalex.org/W2591665631; https://openalex.org/W3027617667; https://openalex.org/W3125792306; https://openalex.org/W1521061567; https://openalex.org/W1518914163; https://openalex.org/W2901674091; https://openalex.org/W2938736116	Feminism; Sociology; Gender studies	Australian History and Society	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Fundamental Feminism	2013	4	Judith Grant	1. Judith Grant	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2913877387; https://openalex.org/W2321377148; https://openalex.org/W2110431815; https://openalex.org/W4319786914; https://openalex.org/W2379313737; https://openalex.org/W2990725750; https://openalex.org/W4230814199; https://openalex.org/W3161492277; https://openalex.org/W2209906412	Feminism; Sociology; Gender studies	Historical Gender and Feminism Studies; Gender, Feminism, and Media; Gender Politics and Representation	Social Sciences	Social Sciences	Sociology and Political Science	en	book
Women in Australian Pentecostalism: Leadership, Submission, and Feminism in Hillsong Church	2016	11	Elizabeth Miller	1. Elizabeth Miller	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W4390586187; https://openalex.org/W2899674914; https://openalex.org/W3020532874	Charisma; Gender studies; Feminism; Power (physics); Sociology; Population; Feminist movement; Political science; Law; Demography; Quantum mechanics; Physics	Pentecostalism and Christianity Studies; Christian Theology and Mission	Social Sciences	Arts and Humanities	Religious studies	en	article
Feminism and Aging in Literature	2019	8	Roberta Maierhofer	1. Roberta Maierhofer	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874	Feminism; Sociology; Gender studies; Art	Aging and Gerontology Research	Social Sciences	Psychology	Neuropsychology and Physiological Psychology	en	book-chapter
Discourses Surrounding Feminism in Ukraine: A Sentiment Analysis of Twitter Data	2018	9	Маріанна Ділай; Олена Левченко	1. Маріанна Ділай; 2. Олена Левченко	False	closed	https://openalex.org/W1779241561; https://openalex.org/W4395471705; https://openalex.org/W2275433313; https://openalex.org/W2900840886; https://openalex.org/W4251412678; https://openalex.org/W2053241453; https://openalex.org/W2946333913; https://openalex.org/W2325621547; https://openalex.org/W1540611520; https://openalex.org/W1984947604	Feminism; Ukrainian; Ambiguity; Sentiment analysis; Computer science; Polarity (international relations); Aggression; Expression (computer science); Artificial intelligence; Microblogging; Natural language processing; Social media; Psychology; World Wide Web; Linguistics; Sociology; Social psychology; Gender studies; Philosophy; Cell; Biology; Genetics; Programming language	Sentiment Analysis and Opinion Mining; Social Media and Politics; Opinion Dynamics and Social Influence	Physical Sciences	Computer Science	Artificial Intelligence	en	article
"From ""Consciousness Expansion"" to ""Consciousness Raising"": Feminism and the Countercultural Politics of the Self"	2013	18	Peter Braunstein; Michael W. Doyle	1. Peter Braunstein; 2. Michael W. Doyle	False	closed	https://openalex.org/W2504120498; https://openalex.org/W2574717582; https://openalex.org/W2766748077; https://openalex.org/W3011712572; https://openalex.org/W2995406169; https://openalex.org/W3164363552; https://openalex.org/W1515279851; https://openalex.org/W1983639496; https://openalex.org/W3027939663; https://openalex.org/W2318361784; https://openalex.org/W2119542227; https://openalex.org/W1006969080; https://openalex.org/W1573867083; https://openalex.org/W3087910722; https://openalex.org/W2256966765; https://openalex.org/W1483923718; https://openalex.org/W3173754693; https://openalex.org/W3158829753; https://openalex.org/W2738508250; https://openalex.org/W2910975050	Feminism; Consciousness; Politics; Raising (metalworking); Political consciousness; Political science; Sociology; Gender studies; Psychology; Psychoanalysis; Law; Engineering; Mechanical engineering; Neuroscience	Anarchism and Radical Politics; Political Economy and Marxism; Political theory and Gramsci	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Medicine as Culture: Illness, Disease and the Body	2012	467	Deborah Lupton	1. Deborah Lupton	False	closed	https://openalex.org/W2899084033; https://openalex.org/W2748952813; https://openalex.org/W3031052312; https://openalex.org/W3032375762; https://openalex.org/W1995515455; https://openalex.org/W2080531066; https://openalex.org/W3108674512; https://openalex.org/W1506200166; https://openalex.org/W2048182022; https://openalex.org/W2604872355	Disease; Medicine; Pathology	History of Science and Medicine; Race, Genetics, and Society; Empathy and Medical Education	Social Sciences	Arts and Humanities	History and Philosophy of Science	en	book
Is Multiculturalism Bad for Women?	1999	2228	Susan Moller Okin; Cohen, Joshua; Howard, Matthew; Nussbaum, Martha C.	1. Susan Moller Okin; 2. Cohen, Joshua; 3. Howard, Matthew; 4. Nussbaum, Martha C.	False	closed	https://openalex.org/W2899084033; https://openalex.org/W2748952813; https://openalex.org/W2357334921; https://openalex.org/W2376854813; https://openalex.org/W2531424448; https://openalex.org/W2005956904; https://openalex.org/W4321203150; https://openalex.org/W2900242372; https://openalex.org/W2261931695; https://openalex.org/W4385853413	Multiculturalism; Gender studies; Sociology; Psychology; Political science; Law	Religious Freedom and Discrimination; American Constitutional Law and Politics	Social Sciences	Social Sciences	Law	en	book
“Acting like a Man”: Adrian Piper’s Mythic Being and Black Feminism in the 1970s	2007	20	John P. Bowles	1. John P. Bowles	False	closed	https://openalex.org/W4387497383; https://openalex.org/W3183948672; https://openalex.org/W3173606202; https://openalex.org/W3110381201; https://openalex.org/W2948807893; https://openalex.org/W2778153218; https://openalex.org/W2758277628; https://openalex.org/W2748952813; https://openalex.org/W1531601525; https://openalex.org/W3193615524	Feminism; Art history; Art; History; Sociology; Gender studies	Cinema and Media Studies; Race, History, and American Society; Music History and Culture	Social Sciences	Economics, Econometrics and Finance	Economics and Econometrics	en	article
Lacanian Psychoanalysis and French Feminism: Toward an Adequate Political Psychology<sup>∗</sup>	1988	20	Dorothy Leland	1. Dorothy Leland	False	closed	https://openalex.org/W2782950977; https://openalex.org/W2900122338; https://openalex.org/W2094403418; https://openalex.org/W1998436539; https://openalex.org/W3174904941; https://openalex.org/W3191891503; https://openalex.org/W2192112861; https://openalex.org/W3204220707; https://openalex.org/W2119714867; https://openalex.org/W4387901770	Oppression; Feminism; Psychoanalysis; Politics; Focus (optics); Sociology; Gender studies; Psychology; Political science; Law; Physics; Optics	French Historical and Cultural Studies	Social Sciences	Arts and Humanities	History	en	article
Space, Time, and Perversion	2018	663	Elizabeth Grosz	1. Elizabeth Grosz	False	closed	https://openalex.org/W2899084033; https://openalex.org/W2748952813; https://openalex.org/W2526361107; https://openalex.org/W2939062928; https://openalex.org/W3205269591; https://openalex.org/W1963551731; https://openalex.org/W4210503404; https://openalex.org/W2817011395; https://openalex.org/W4319159418; https://openalex.org/W2085051057	Perversion; Space (punctuation); Psychoanalysis; Psychology; Philosophy; Linguistics	Art, Politics, and Modernism; Fashion and Cultural Textiles	Social Sciences	Arts and Humanities	Visual Arts and Performing Arts	en	book
Horsy and persistently queer: Imperialism, feminism and bestiality	2001	12	Donna Landry	1. Donna Landry	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4382814330; https://openalex.org/W4245646993; https://openalex.org/W3209674148; https://openalex.org/W4309450747; https://openalex.org/W4235318949; https://openalex.org/W4387901770; https://openalex.org/W127987774; https://openalex.org/W4283774608; https://openalex.org/W4390586187	Feminism; Queer; Empire; Gender studies; History; Shadow (psychology); Sociology; Ancient history; Psychoanalysis; Psychology	Marriage and Sexual Relationships; Travel Writing and Literature	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Women, Feminism and Development	1994	5	Huguette Dagenais; Denise Piché	1. Huguette Dagenais; 2. Denise Piché	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914; https://openalex.org/W4235493931	Feminism; Gender studies; Sociology	Gender Politics and Representation	Social Sciences	Social Sciences	Gender Studies	en	book
Feminism and the Disintegration of Yugoslavia: On the Politics of Gender and Ethnicity	2003	12	Dubravka Žarkov	1. Dubravka Žarkov	True	green	https://openalex.org/W2922295211; https://openalex.org/W2030844235; https://openalex.org/W2274043802; https://openalex.org/W2516818128; https://openalex.org/W2056882082; https://openalex.org/W1992608780; https://openalex.org/W2491987936; https://openalex.org/W3036680879; https://openalex.org/W1570389096; https://openalex.org/W2891241120; https://openalex.org/W48224667; https://openalex.org/W2485258454; https://openalex.org/W2898294575; https://openalex.org/W2084593358; https://openalex.org/W3152769778; https://openalex.org/W1918118443; https://openalex.org/W89830259; https://openalex.org/W2900722898; https://openalex.org/W2486518335; https://openalex.org/W1742660612	Femininity; Conceptualization; Ethnic group; Gender studies; Feminism; Politics; Sociology; Political science; Sexual violence; Criminology; Law; Computer science; Artificial intelligence	Balkans: History, Politics, Society	Social Sciences	Social Sciences	Cultural Studies	en	article
